#,title,videoUrl,videoId,publishedAt,position
1,2010 WORLD CUP FINAL: Netherlands 0-1 Spain (AET),https://www.youtube.com/watch?v=aKSHgMqCwbQ&list=PLA50BEC09C3927E83&index=1,aKSHgMqCwbQ,2012-07-11T12:16:44Z,0
30,Greece v Argentina | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=f5ri6bs_wEE&list=PLA50BEC09C3927E83&index=30,f5ri6bs_wEE,2012-11-08T01:43:49Z,29
31,France v South Africa | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=HgqxJw3Jb24&list=PLA50BEC09C3927E83&index=31,HgqxJw3Jb24,2012-09-07T02:03:10Z,30
32,Mexico v Uruguay | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=NbUDaXTMbmw&list=PLA50BEC09C3927E83&index=32,NbUDaXTMbmw,2012-10-19T14:11:05Z,31
33,Spain v Honduras | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=fbxpU3Jvpq0&list=PLA50BEC09C3927E83&index=33,fbxpU3Jvpq0,2012-03-21T07:54:00Z,32
34,Chile v Switzerland | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=_gIjrDA9lMA&list=PLA50BEC09C3927E83&index=34,_gIjrDA9lMA,2012-06-01T16:25:13Z,33
35,Portugal v Korea DPR | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=3NxAB8hm_eo&list=PLA50BEC09C3927E83&index=35,3NxAB8hm_eo,2012-06-14T13:29:46Z,34
36,Brazil v Côte d'Ivoire | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=tvQnzF0Gs9s&list=PLA50BEC09C3927E83&index=36,tvQnzF0Gs9s,2012-10-04T20:09:42Z,35
37,Italy v New Zealand | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=XPsv6YjKEFc&list=PLA50BEC09C3927E83&index=37,XPsv6YjKEFc,2012-09-28T01:59:11Z,36
38,Slovakia v Paraguay | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=IurZMNmp9oM&list=PLA50BEC09C3927E83&index=38,IurZMNmp9oM,2013-03-29T15:38:59Z,37
39,Cameroon v Denmark | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=KpVsMkhkTwE&list=PLA50BEC09C3927E83&index=39,KpVsMkhkTwE,2012-08-02T02:50:24Z,38
40,Ghana v Australia | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=E4YM5uMXCDU&list=PLA50BEC09C3927E83&index=40,E4YM5uMXCDU,2012-07-19T01:46:48Z,39
41,Netherlands v Japan | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=laLb71u6jW4&list=PLA50BEC09C3927E83&index=41,laLb71u6jW4,2012-05-31T14:29:27Z,40
