#,title,videoUrl,videoId,publishedAt,position
1,2014 WORLD CUP FINAL: Germany 1-0 Argentina (AET),https://www.youtube.com/watch?v=ffAYByv2pLc&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=1,ffAYByv2pLc,2018-04-28T10:00:12Z,0
26,Brazil v Chile | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=5RoM0FNuIGA&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=26,5RoM0FNuIGA,2018-04-23T15:11:33Z,25
27,Ghana v USA | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=5Pp_sK5snmc&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=27,5Pp_sK5snmc,2018-04-18T15:59:45Z,26
28,Netherlands v Argentina | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=T1WagSFGatY&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=28,T1WagSFGatY,2018-04-26T16:00:06Z,27
29,Netherlands v Costa Rica | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=t_J-swtym3w&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=29,t_J-swtym3w,2018-04-25T16:00:06Z,28
30,Italy v Costa Rica | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=d3pF3xLGZes&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=30,d3pF3xLGZes,2018-04-19T14:30:22Z,29
31,Netherlands v Mexico | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=xQ1dlcJA_7I&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=31,xQ1dlcJA_7I,2018-04-23T15:15:54Z,30
32,Japan v Colombia | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=TAOBKnpmnOk&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=32,TAOBKnpmnOk,2018-04-19T13:42:47Z,31
33,Brazil v Mexico | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=JGCI5BT7X9k&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=33,JGCI5BT7X9k,2018-04-18T16:06:04Z,32
34,Croatia v Mexico | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=YpnzE9Hot6U&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=34,YpnzE9Hot6U,2018-04-19T13:56:30Z,33
35,Belgium v USA | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=FZrPJyqw3mk&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=35,FZrPJyqw3mk,2018-04-23T15:25:13Z,34
36,Colombia v Côte d'Ivoire | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=jhZSSqGpWug&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=36,jhZSSqGpWug,2018-04-19T13:13:51Z,35
